Point Number;X cooridnate;Y coordinate;Z coordinate
347;-763;-715;904
348;-358;569;-228
349;-398;-780;-574
350;-623;326;497
351;-562;373;656
352;711;-526;-675
353;-250;-230;396
354;-792;-491;796
355;667;601;-263
356;-666;326;441
357;-145;397;-588
358;-620;636;-24
359;-333;-147;772
360;570;638;-489
361;-709;-725;-134
362;-599;-25;8
363;749;-554;-509
364;-524;-587;-705
365;-15;-728;668
366;-425;-590;-433
367;462;-97;-562
368;-91;-376;659
369;-775;-871;717
370;-710;490;317
371;-17;699;-689
372;585;688;805
373;-240;-28;-581
374;743;517;-476
375;-595;602;663
376;228;170;-88
377;-691;578;679
378;-566;493;493
379;-174;-83;-646
380;-213;-147;-597
381;-256;424;-550
382;513;-579;687
383;-586;-804;63
384;304;149;457
385;518;779;-507
386;-247;373;-630
387;423;-494;376
388;217;-52;632
389;-683;637;619
390;108;18;527
391;-348;-201;801
392;-306;-294;13
393;-394;-81;714
394;829;-549;-755
395;806;733;651
396;-254;-35;675
397;-706;-521;-677
398;393;192;59
399;432;-335;642
400;-86;85;-525
401;-899;423;531
402;-748;14;45
403;668;-478;565
404;596;223;-423
405;259;-340;-408
406;-386;612;-113
407;-372;570;-12
408;-435;-89;859
409;-774;-469;-150
410;-227;-36;191
411;-304;9;684
412;-656;314;355
413;213;-362;-463
414;-247;-129;-705
415;-607;-214;768
416;447;318;145
417;-156;202;-732
418;252;446;-16
419;-87;637;231
420;-274;-72;-497
421;391;185;-686
422;10;-564;493
423;36;-277;225
424;-760;-499;784
425;-23;-223;-478
426;471;-549;678
427;558;843;901
428;-147;-75;-689
429;593;706;-430
430;766;824;-612
431;374;196;94
432;-353;-22;-451
433;409;351;-238
434;662;-585;501
435;662;94;-422
436;742;739;870
437;636;-724;-687
438;-316;-262;590
439;-676;-88;124
440;-73;-489;198
441;191;873;305
442;-72;225;-481
443;762;-413;-598
444;458;399;105
445;-478;517;-400
446;-229;762;-787
447;-188;-5;-573
448;-676;504;557
449;-527;-488;22
450;74;-293;-243
451;219;337;727
452;588;630;515
453;547;115;-689
454;-148;108;-569
455;-174;459;-772
456;435;130;-599
457;613;203;-583
458;-544;-11;791
459;198;603;20
460;602;680;-640
461;-782;-709;44
462;380;241;-223
463;486;-38;-597
464;663;671;-444
465;-170;-72;184
466;-303;-269;193
467;718;875;-612
468;28;-330;283
469;-268;-173;-513
470;-726;-548;814
471;823;146;-635
472;216;289;627
473;-126;-707;734
474;-630;-238;672
475;107;49;697
476;163;547;20
477;-347;615;-325
478;-766;104;-111
479;555;-373;383
480;632;-12;-533
481;288;-484;-419
482;-34;-124;81
483;-660;96;17
484;-832;373;415
485;-161;578;-708
486;453;-40;-602
487;-697;-571;-572
488;-543;-805;5
489;-737;-644;-646
490;250;450;-118
491;599;-353;649
492;-159;-573;446
493;331;-339;467
494;-553;-163;879
495;596;178;-332
496;-92;511;-851
497;-525;-853;-31
498;441;678;898
499;-641;-39;34
500;606;862;890
501;524;-620;-763
502;-346;-790;-544
503;-260;-442;239
504;-238;-72;798
505;-106;-478;199
506;699;103;-369
507;-526;-821;10
508;58;-385;-635
509;418;149;-524
510;699;672;617
511;-710;544;325
512;-267;-691;-677
513;-259;-691;558
514;38;676;108
515;470;109;-206
516;235;-219;-340
517;439;227;165
518;573;-544;616
519;764;-613;-633
520;656;-432;-791
521;-454;-665;-521
522;85;4;615
523;426;99;-381
524;132;774;418
525;-303;54;-693
526;-426;-534;-100
527;345;151;-233
528;-805;-223;-63
529;-373;-499;-754
530;150;-294;-358
531;285;-31;536
532;535;-236;398
533;526;853;-464
534;-56;-198;241
535;-749;397;342
536;-241;-4;-724
537;69;-442;-430
538;392;305;-183
539;-69;721;-607
540;135;752;325
541;-470;728;-296
542;-254;-116;-621
543;-736;-475;773
544;-252;389;-770
545;170;-355;-228
546;-821;568;330
547;-149;-460;27
548;-516;-43;-317
549;18;-391;125
550;546;-665;-595
551;-627;-797;-88
552;-700;-271;-9
553;-247;521;-811
554;779;-655;-576
555;-309;-458;660
556;160;-11;788
557;675;841;579
558;340;-370;416
559;142;-255;-349
560;-720;-223;-72
561;-130;532;-455
562;-699;-535;104
563;-187;-132;382
564;-14;763;-720
565;488;874;-449
566;-22;-334;-401
567;-761;343;445
568;407;458;-125
569;-705;373;279
570;506;42;-624
571;-506;543;-126
572;262;-535;-368
573;298;819;141
574;-710;-871;742
575;-232;-160;816
576;-621;-78;762
577;466;571;625
578;397;-288;477
579;-289;56;-688
580;-97;-732;577
581;-701;-665;-167
582;453;-518;341
583;-141;-206;-501
584;-694;57;-180
585;-146;-174;-485
586;-342;596;-517
587;463;484;-232
588;66;-666;521
589;-512;-252;783
590;686;155;-366
591;-206;26;-604
592;-340;599;-760
593;353;-294;578
594;659;-293;-616
595;-713;-878;745
596;-279;-315;146
597;593;-618;-705
598;628;-652;600
599;-51;595;340
600;-748;-602;-2
601;229;253;699
602;-648;-864;769
603;-300;674;-203
604;-833;-59;-69
605;-697;-183;-284
606;-475;413;-331
607;33;115;593
608;503;-396;442
609;72;593;-594
610;774;-720;-572
611;-577;-722;-583
612;-661;-551;777
613;-732;-786;-159
614;-195;734;-492
615;-650;-611;-773
616;173;-432;-292
617;605;-585;648
618;-356;-31;-494
619;-491;567;-66
620;-383;-160;758
621;-67;571;-664
622;750;752;-367
623;-57;-85;63
624;-129;-556;703
625;771;-652;-773
626;-8;94;638
627;-204;-262;108
628;-286;601;-492
629;334;167;470
630;-16;634;54
631;769;665;565
632;-33;796;231
633;153;-380;-359
634;75;-651;541
635;-670;-531;-513
636;299;-469;-572
637;132;562;387
638;-447;-265;663
639;-501;-82;-3
640;681;-468;563
641;-132;-108;252
642;204;278;57
643;596;864;550
644;679;699;-468
645;139;66;561
646;539;157;-468
647;60;633;-629
648;-711;-914;603
649;-182;-436;209
650;533;-514;460
651;-484;-816;-66
652;186;-96;515
653;240;546;353
654;-229;536;-823
655;-884;560;576
656;698;630;-292
657;-277;-261;230
658;525;-460;542
659;729;-510;465
660;-837;-26;-87
661;-29;-596;659
662;-680;-194;-189
663;-196;43;-802
664;-863;416;619
665;685;811;584
666;-184;493;-471
667;258;695;101
668;446;588;-469
669;20;903;191
670;597;766;895
671;-674;-803;-220
672;-498;697;-34
673;398;225;641
674;297;101;-18
675;-843;-811;587
676;331;-504;602
677;515;598;657
678;-91;-141;-642
679;652;741;707
680;290;468;-211
681;-624;-476;-724
682;372;34;547
683;-452;-337;884
684;-394;-180;527
685;-552;-89;936
686;31;135;-473
687;-773;572;518
688;750;-426;563
689;-572;-868;656
690;729;913;807
691;-750;402;569
692;607;-554;428
693;-721;-193;-270
694;-714;640;367
695;-833;644;604
696;-67;684;-582
697;-90;19;-354
698;-379;-657;686
699;-768;-657;521
700;-828;-563;763
701;268;-424;-649
702;-43;-497;538
703;-712;-638;725
704;176;266;630
705;-266;-474;169
706;-224;169;-601
707;398;287;-297
708;470;261;-604
709;441;-464;359
710;678;490;-348
711;393;127;-426
712;-506;-120;-120
713;-512;39;16
714;628;503;-507
715;44;-687;692
716;108;-340;-232
717;-599;428;501
718;768;692;-232
719;-33;-386;-333
720;776;-696;-668
721;569;769;855
722;360;-271;-481
723;288;-244;-477
724;152;-232;-273
725;-747;-809;-4
726;-103;39;-606
727;-678;-765;-139
728;644;948;-409
729;637;-414;-692
730;-46;-292;285
731;595;-28;-418
732;-673;-784;-113
733;-350;-266;731
734;-748;-570;12
735;-795;-587;699
736;-635;-697;-37
737;-482;-221;512
738;-740;-590;-269
739;-327;0;737
740;-195;-129;-651
741;-340;-557;579
742;-517;645;-233
743;-14;124;-689
744;-586;-687;137
745;555;492;770
746;-601;-893;783
747;704;-325;-469
748;173;105;616
749;620;167;-425
750;-598;347;327
751;-449;-17;898
752;-686;-656;494
753;-581;655;603
754;-713;-696;559
755;-781;-745;47
756;-1;112;-708
757;636;-619;488
758;-321;664;-592
759;707;578;-631
760;-650;447;531
761;541;-498;530
762;541;96;-545
763;-255;689;-663
764;224;827;124
765;-467;464;-58
766;20;-502;-373
767;-600;-113;-73
768;472;-265;658
769;587;319;47
770;-29;594;165
771;-285;75;-533
772;-42;116;-618
773;-580;-487;-492
774;-6;768;380
775;-427;-496;-836
776;-538;530;-271
777;-364;-32;-475
778;-687;152;-81
779;-557;-751;-694
780;-174;618;-477
781;171;831;289
782;629;188;-616
783;-93;-677;462
784;-909;-560;638
785;-56;-388;628
786;-124;577;-878
787;-681;-629;824
788;-224;-556;382
789;650;-420;-515
790;808;751;-387
791;-465;-236;503
792;-235;-670;790
793;624;758;933
794;-713;-494;-62
795;282;115;523
796;-454;-495;-603
797;525;-420;609
798;503;-651;437
799;-401;633;-237
800;-624;647;-330
801;-81;-261;199
802;-220;-296;-1
803;-41;56;-582
804;631;-529;637
805;824;637;-495
806;-763;-942;642
807;-606;85;45
808;-112;-560;567
809;793;-430;-590
810;-562;-752;-515
811;695;-509;554
812;654;-444;325
813;-431;-495;-772
814;-367;91;-567
815;385;134;5
816;-118;-766;715
817;371;292;560
818;-668;-656;-130
819;-595;-755;-97
820;31;-319;-366
821;242;-582;-399
822;-285;-706;440
823;-543;-670;673
824;-525;-785;-92
825;-853;-138;-207
826;-227;-256;228
827;567;449;43
828;646;-325;-707
829;770;-435;-777
830;-432;528;-310
831;2;666;107
832;145;-45;665
833;486;-368;525
834;572;218;-52
835;698;650;848
836;-569;410;414
837;145;-242;-245
838;602;-702;-568
839;266;232;435
840;-633;522;-69
841;-47;748;192
842;536;796;895
843;-881;592;563
844;440;740;-405
845;-660;-72;808
846;-618;-220;-82
847;-769;-775;-183
848;670;32;-570
849;-249;-178;769
850;232;-285;-300
851;795;727;748
852;-481;-864;-617
853;-693;-660;-608
854;-622;652;632
855;119;-357;-545
856;-612;-609;-537
857;-89;198;-546
858;-713;-735;-689
859;59;-441;-378
860;27;280;697
861;162;-325;-437
862;-808;-547;655
863;601;631;-527
864;38;149;770
865;436;674;825
866;-28;-408;-510
867;82;691;60
868;-495;-819;-749
869;-546;463;588
870;-565;434;342
871;-88;20;-785
872;471;198;-50
873;-636;143;-139
874;541;-486;-821
875;-652;-578;-804
876;468;618;820
877;515;879;-438
878;-660;307;447
879;-72;727;247
880;-34;-318;399
881;-29;-364;85
882;12;-49;-751
883;-325;-595;444
884;611;666;962
885;837;-640;-493
886;-213;-180;206
887;-190;50;-438
888;-720;15;-111
889;-261;522;-519
890;-27;-678;430
891;-198;-141;172
892;661;899;-373
893;-590;-125;51
894;501;41;-771
895;98;509;319
896;-726;267;380
897;-626;-223;587
898;-532;-769;-776
899;-26;-244;-512
900;73;346;585
901;-582;552;-23
902;423;-453;315
903;648;-410;-428
904;-69;73;-411
905;-46;175;-508
906;-798;471;638
907;-58;-319;387
908;-624;-686;921
909;152;585;354
910;-89;28;-430
911;682;887;-360
912;-309;-146;-525
913;583;231;-530
914;541;191;-66
915;-173;-700;500
916;-547;495;-422
917;642;27;-373
918;-608;558;-186
919;-23;496;-814
920;-250;-187;-503
921;-763;-729;491
922;-434;575;-83
923;277;-479;-549
924;-188;644;-919
925;-532;-670;795
926;-666;-597;-311
927;-755;346;601
928;710;568;-355
929;315;683;116
930;-297;-708;-588
931;-722;-629;-581
932;-372;-315;153
933;242;29;400
934;865;-619;-684
935;-31;-304;337
936;-49;-323;-558
937;698;781;695
938;497;626;607
939;-198;522;-744
940;562;-523;522
941;-515;-556;-254
942;279;-474;572
943;-69;389;-687
944;438;772;563
945;621;-265;594
946;-122;-757;469
947;702;-472;-555
948;-222;113;-787
949;-252;-662;715
950;242;295;596
951;185;841;28
952;214;792;74
953;-562;421;-103
954;-380;-551;-752
955;-591;-585;90
956;584;-580;402
957;448;453;-244
958;118;246;456
959;130;-505;-340
960;-549;-19;821
961;105;662;162
962;382;-308;-444
963;-202;685;-862
964;-558;537;311
965;638;719;-465
966;311;-151;-417
967;574;58;-565
968;-840;-202;-148
969;-58;654;277
970;575;-505;-760
971;-489;436;586
972;291;262;520
973;-392;-43;-607
974;673;235;-373
975;-388;555;-334
976;606;647;-490
977;-66;-744;606
978;-393;-150;951
979;643;-403;-733
980;-616;362;517
981;588;-108;-502
982;-314;507;-102
983;-701;440;295
984;-623;130;-172
985;-7;829;162
986;-640;19;48
987;739;258;-627
988;-279;-27;-741
989;-623;534;-320
990;-97;-274;22
991;94;884;136
992;423;-398;598
993;512;109;-133
994;375;131;-615
995;351;194;-57
996;498;-583;-540
997;295;-322;-455
998;283;-259;-276
999;-541;-803;38
1000;-468;-610;-905
1001;713;-554;-812
1002;-688;51;-161
1003;-413;675;-40
1004;-207;-704;635
1005;-383;558;-87
1006;744;104;-449
1007;703;-553;-466
1008;807;-596;-749
1009;-149;541;-784
1010;-297;-51;689
1011;-590;272;527
1012;-591;-40;631
1013;-575;-641;-122
1014;-420;-129;-33
1015;553;798;-487
1016;-621;-543;58
1017;727;893;-543
1018;-289;-83;187
1019;-802;657;402
1020;-793;-666;568
1021;131;876;202
1022;135;-417;-390
1023;-113;-460;81
1024;546;91;-688
1025;1;-200;-407
1026;-266;590;-456
1027;-203;-711;607
1028;14;-348;-270
1029;751;-534;-805
1030;-535;-679;-426
1031;529;-385;-664
1032;-457;-216;634
1033;-347;9;800
1034;-232;-625;485
1035;-562;-129;-247
1036;280;314;711
1037;-649;-533;-706
1038;667;-609;-488
1039;-662;647;444
1040;-460;-371;807
1041;-617;-648;-766
1042;-69;106;-641
1043;-51;799;-697
1044;-137;-665;806
1045;566;-523;347
1046;-428;499;-151
1047;-766;-55;49
1048;600;545;864
1049;-600;-65;24
1050;-287;649;-594
1051;129;928;272
1052;-884;398;471
1053;820;793;736
1054;490;580;-370
1055;442;752;587
1056;-189;452;-499
1057;455;871;803
1058;506;141;-383
1059;642;-307;-669
1060;-304;-667;598
1061;-223;-726;694
1062;-596;-130;-228
1063;157;6;749
1064;444;-365;710
1065;-843;500;529
1066;130;-485;-500
1067;739;125;-416
1068;122;52;431
1069;-244;674;-895
1070;643;87;-338
1071;479;196;108
1072;-493;-347;579
1073;-732;-16;44
1074;-367;571;-602
1075;-188;-87;-522
1076;514;42;-680
1077;-817;-666;760
1078;-573;-576;-437
1079;635;-387;385
1080;728;-417;501
1081;-803;-738;713
1082;-8;-668;583
1083;687;599;-311
1084;481;610;759
1085;-686;127;-98
1086;-803;632;543
1087;625;748;-672
1088;106;103;691
1089;736;-526;-650
1090;-701;-58;-357
1091;-618;-424;-82
1092;-579;-870;606
1093;99;-5;767
1094;-732;371;285
1095;234;135;720
1096;-85;-721;477
1097;-480;385;540
1098;-781;-564;833
1099;-484;-767;-105
1100;-807;-906;702
1101;699;642;-279
1102;-565;-3;597
1103;-132;-516;569
1104;-186;736;-804
1105;-487;-686;-885
1106;-2;628;92
1107;317;223;415
1108;594;-362;462
1109;143;619;412
1110;-604;-224;20
1111;507;319;-578
1112;-28;-71;-685
1113;-688;584;-340
1114;-876;597;583
1115;758;-304;-519
1116;-555;-288;803
1117;412;426;78
1118;726;718;-465
1119;-730;-35;13
1120;29;-32;588
1121;-61;-165;-9
1122;513;-569;302
1123;-592;24;712
1124;634;-531;-551
1125;-392;-543;-497
1126;-684;110;-138
1127;534;150;-109
1128;-593;-664;-579
1129;607;48;-642
1130;-553;-251;823
1131;-238;-449;574
1132;674;-65;-700
1133;-79;632;-651
1134;768;136;-407
1135;-710;-771;82
1136;-820;414;486
1137;-626;-35;-135
1138;-4;-286;239
1139;-370;-592;-846
1140;-528;561;-310
1141;-253;746;-663
1142;-626;400;660
1143;85;-462;-485
1144;-926;-586;716
1145;105;247;710
1146;-482;731;-42
1147;-55;-497;740
1148;-217;-496;419
1149;-620;652;341
1150;-87;731;-601
1151;-550;-666;660
1152;187;562;122
1153;-742;95;-220
1154;746;-575;-602
1155;-380;-563;664
1156;-823;-535;748
1157;-692;-537;723
1158;185;69;374
1159;582;-448;-574
1160;-580;-784;621
1161;-264;-153;-592
1162;734;-510;-553
1163;717;739;-415
1164;-258;-214;329
1165;-234;706;-520
1166;520;-686;562
1167;243;-168;-457
1168;-376;-576;615
1169;651;-683;-629
1170;-452;-229;579
1171;489;-107;-628
1172;-851;398;553
1173;-395;-209;653
1174;-40;798;66
1175;-207;-434;627
1176;-832;-824;872
1177;481;220;-231
1178;-842;-644;912
1179;-104;-672;539
1180;694;-531;-401
1181;-575;-707;-810
1182;641;9;-509
1183;100;566;306
1184;-348;-556;711
1185;58;110;456
1186;612;330;-586
1187;741;669;861
1188;647;-303;407
1189;-639;-778;784
1190;695;-498;-460
1191;-42;-525;790
1192;560;285;-147
1193;-346;-15;826
1194;-172;-585;437
1195;453;67;-383
1196;-870;-766;782
1197;-153;378;-722
1198;388;358;85
1199;25;476;-710
1200;277;59;404
1201;-425;-190;515
1202;466;717;710
1203;596;-451;562
1204;-236;576;-826
1205;-263;-215;577
1206;-66;-435;458
1207;6;-542;701
1208;647;-671;-786
1209;252;66;684
1210;-571;-344;773
1211;-671;-135;-44
1212;397;465;72
1213;-86;-80;-403
1214;-600;682;-121
1215;-91;622;-900
1216;193;602;88
1217;-615;-431;-68
1218;219;520;245
1219;574;622;873
1220;-309;-130;617
1221;-118;76;-349
1222;514;377;113
1223;83;574;51
1224;333;204;566
1225;274;225;693
1226;-63;-260;103
1227;559;314;-96
1228;783;665;733
1229;127;-413;-396
1230;-535;84;-251
1231;766;-528;-448
1232;-95;-197;256
1233;40;113;418
1234;546;208;-455
1235;479;-316;438
1236;35;762;382
1237;42;16;704
1238;-711;11;-29
1239;204;517;48
1240;452;464;-125
1241;262;-449;-243
1242;472;-462;-673
1243;566;836;-403
1244;57;-241;-310
1245;-565;-564;-150
1246;210;258;0
1247;5;-557;611
1248;276;323;499
1249;392;167;-219
1250;616;-485;-681
1251;-520;-574;-715
1252;-606;466;-352
1253;-726;-701;75
1254;89;516;90
1255;-620;-551;-188
1256;-550;565;326
1257;80;-149;-539
1258;-444;-710;-594
1259;-710;-783;780
1260;-616;720;-316
1261;-266;-149;617
1262;-79;-408;481
1263;834;-624;-690
1264;43;-485;537
1265;24;729;362
1266;-175;-139;222
1267;-618;-533;-832
1268;155;585;15
1269;280;-549;-534
1270;-624;-174;716
1271;-533;-161;501
1272;-666;596;304
1273;8;-529;-447
1274;441;67;-497
1275;-477;-499;26
1276;-418;-100;515
1277;-434;-772;-60
1278;-336;147;-471
1279;545;821;581
1280;-777;-664;757
1281;-666;-575;-684
1282;-626;-818;618
1283;547;-475;498
1284;-669;-785;-234
1285;-149;626;-669
1286;466;780;-396
1287;-860;-630;646
1288;221;-539;-322
1289;-348;-250;178
1290;307;269;120
1291;-571;-413;-127
1292;-439;-11;-37
1293;-799;-723;-44
1294;-447;-41;-238
1295;-501;-506;-595
1296;599;919;-352
1297;471;366;-152
1298;662;-633;-583
1299;608;942;-519
1300;494;-602;658
1301;-482;576;395
1302;255;-198;-561
1303;-466;-771;-796
1304;226;447;-101
1305;-738;-189;-25
1306;-103;247;-535
1307;593;701;742
1308;549;280;-628
1309;450;67;-760
1310;-640;518;-299
1311;836;710;-433
1312;604;-563;483
1313;522;401;-73
1314;740;-32;-665
1315;-549;-743;752
1316;403;294;-202
1317;-490;-137;23
1318;-487;593;418
1319;-650;-533;657
1320;650;-370;353
1321;477;694;-582
1322;294;-235;-347
1323;-429;-663;-807
1324;-326;-409;262
1325;-543;665;531
1326;-458;564;-128
1327;316;-477;-513
1328;183;-402;-214
1329;-39;-158;334
1330;-31;-139;-515
1331;550;928;-413
1332;-369;466;-364
1333;60;704;79
1334;-826;-45;-57
1335;214;724;197
1336;-657;-477;-570
1337;54;469;260
1338;-709;459;359
1339;-72;-4;-458
1340;-748;-799;749
1341;-312;560;-804
1342;-523;-185;780
1343;719;-344;-620
1344;-445;-174;771
1345;536;78;-733
1346;602;896;859
1347;-444;-162;473
1348;469;596;562
1349;344;118;-589
1350;-199;134;-406
1351;-239;-65;-783
1352;-239;-36;-572
1353;-62;402;-629
1354;752;643;629
1355;-630;-779;669
1356;-351;-229;755
1357;-961;-621;752
1358;262;-348;-633
1359;722;190;-453
1360;-592;-227;707
1361;802;17;-582
1362;394;189;111
1363;-179;-131;186
1364;11;-9;689
1365;-594;-769;-188
1366;-642;-566;-252
1367;-597;-830;835
1368;-285;-460;155
1369;-594;-581;-737
1370;-840;-827;779
1371;479;-494;-666
1372;-223;-785;603
1373;566;-273;642
1374;-428;-756;-707
1375;702;-668;-608
1376;95;303;556
1377;249;-288;-503
1378;537;329;-177
1379;-622;25;-241
1380;-745;664;579
1381;-360;-250;285
1382;-251;-393;360
1383;463;-3;-475
1384;-486;54;621
1385;-723;51;-105
1386;789;552;-556
1387;259;620;172
1388;252;792;19
1389;-520;-122;923
1390;310;-468;397
1391;-23;-318;10
1392;-689;-723;-296
1393;-554;-691;-835
1394;-412;510;-174
1395;596;201;-652
1396;-575;-694;-85
1397;-434;-676;-169
1398;-619;-449;-31
1399;-550;-92;772
1400;-407;-9;689
1401;-340;-14;-742
1402;466;-527;-529
1403;-105;-378;370
1404;499;487;-88
1405;-85;776;-633
1406;-612;-700;23
1407;199;530;240
1408;59;-45;-532
1409;-777;-147;71
1410;386;-564;464
1411;58;864;250
1412;-785;-623;765
